car_ID,fueltype,aspiration,doornumber,drivewheel,enginelocation,enginetype,cylindernumber,fuelsystem,price
57,gas,std,two,rwd,front,rotor,two,4bbl,11845
58,gas,std,two,rwd,front,rotor,two,4bbl,13645
59,gas,std,two,rwd,front,rotor,two,mpfi,15645
60,gas,std,two,fwd,front,ohc,four,2bbl,8845
61,gas,std,four,fwd,front,ohc,four,2bbl,8495
62,gas,std,two,fwd,front,ohc,four,2bbl,10595
63,gas,std,four,fwd,front,ohc,four,2bbl,10245
64,diesel,std,four,fwd,front,ohc,four,idi,10795
65,gas,std,four,fwd,front,ohc,four,2bbl,11245
66,gas,std,four,rwd,front,ohc,four,mpfi,18280
67,diesel,std,four,rwd,front,ohc,four,idi,18344
68,diesel,turbo,four,rwd,front,ohc,five,idi,25552
69,diesel,turbo,four,rwd,front,ohc,five,idi,28248
70,diesel,turbo,two,rwd,front,ohc,five,idi,28176
71,diesel,turbo,four,rwd,front,ohc,five,idi,31600
72,gas,std,four,rwd,front,ohcv,eight,mpfi,34184
73,gas,std,two,rwd,front,ohcv,eight,mpfi,35056
74,gas,std,four,rwd,front,ohcv,eight,mpfi,40960
75,gas,std,two,rwd,front,ohcv,eight,mpfi,45400
76,gas,turbo,two,rwd,front,ohc,four,mpfi,16503
77,gas,std,two,fwd,front,ohc,four,2bbl,5389
78,gas,std,two,fwd,front,ohc,four,2bbl,6189
79,gas,std,two,fwd,front,ohc,four,2bbl,6669
80,gas,turbo,two,fwd,front,ohc,four,spdi,7689
81,gas,turbo,two,fwd,front,ohc,four,spdi,9959
82,gas,std,two,fwd,front,ohc,four,2bbl,8499
83,gas,turbo,two,fwd,front,ohc,four,spdi,12629
84,gas,turbo,two,fwd,front,ohc,four,spdi,14869
85,gas,turbo,two,fwd,front,ohc,four,spdi,14489
86,gas,std,four,fwd,front,ohc,four,2bbl,6989
87,gas,std,four,fwd,front,ohc,four,2bbl,8189
88,gas,turbo,four,fwd,front,ohc,four,spdi,9279
89,gas,std,four,fwd,front,ohc,four,spdi,9279
90,gas,std,two,fwd,front,ohc,four,2bbl,5499
91,diesel,std,two,fwd,front,ohc,four,idi,7099
92,gas,std,two,fwd,front,ohc,four,2bbl,6649
93,gas,std,four,fwd,front,ohc,four,2bbl,6849
94,gas,std,four,fwd,front,ohc,four,2bbl,7349
95,gas,std,two,fwd,front,ohc,four,2bbl,7299
96,gas,std,two,fwd,front,ohc,four,2bbl,7799
97,gas,std,four,fwd,front,ohc,four,2bbl,7499
98,gas,std,four,fwd,front,ohc,four,2bbl,7999
99,gas,std,two,fwd,front,ohc,four,2bbl,8249
100,gas,std,four,fwd,front,ohc,four,2bbl,8949
101,gas,std,four,fwd,front,ohc,four,2bbl,9549
102,gas,std,four,fwd,front,ohcv,six,mpfi,13499
103,gas,std,four,fwd,front,ohcv,six,mpfi,14399
104,gas,std,four,fwd,front,ohcv,six,mpfi,13499
105,gas,std,two,rwd,front,ohcv,six,mpfi,17199
106,gas,turbo,two,rwd,front,ohcv,six,mpfi,19699
107,gas,std,two,rwd,front,ohcv,six,mpfi,18399
108,gas,std,four,rwd,front,l,four,mpfi,11900
109,diesel,turbo,four,rwd,front,l,four,idi,13200
110,gas,std,four,rwd,front,l,four,mpfi,12440
111,diesel,turbo,four,rwd,front,l,four,idi,13860
112,gas,std,four,rwd,front,l,four,mpfi,15580
113,diesel,turbo,four,rwd,front,l,four,idi,16900
114,gas,std,four,rwd,front,l,four,mpfi,16695
115,diesel,turbo,four,rwd,front,l,four,idi,17075
116,gas,std,four,rwd,front,l,four,mpfi,16630
117,diesel,turbo,four,rwd,front,l,four,idi,17950
118,gas,turbo,four,rwd,front,l,four,mpfi,18150
119,gas,std,two,fwd,front,ohc,four,2bbl,5572
120,gas,turbo,two,fwd,front,ohc,four,spdi,7957
121,gas,std,four,fwd,front,ohc,four,2bbl,6229
122,gas,std,four,fwd,front,ohc,four,2bbl,6692
123,gas,std,four,fwd,front,ohc,four,2bbl,7609
124,gas,std,four,fwd,front,ohc,four,2bbl,8921
125,gas,turbo,two,rwd,front,ohc,four,spdi,12764
126,gas,std,two,rwd,front,ohc,four,mpfi,22018
127,gas,std,two,rwd,rear,ohcf,six,mpfi,32528
128,gas,std,two,rwd,rear,ohcf,six,mpfi,34028
129,gas,std,two,rwd,rear,ohcf,six,mpfi,37028
130,gas,std,two,rwd,front,dohcv,eight,mpfi,31400.5
131,gas,std,four,fwd,front,ohc,four,mpfi,9295
132,gas,std,two,fwd,front,ohc,four,mpfi,9895
133,gas,std,two,fwd,front,ohc,four,mpfi,11850
134,gas,std,four,fwd,front,ohc,four,mpfi,12170
135,gas,std,two,fwd,front,ohc,four,mpfi,15040
136,gas,std,four,fwd,front,ohc,four,mpfi,15510
137,gas,turbo,two,fwd,front,dohc,four,mpfi,18150
138,gas,turbo,four,fwd,front,dohc,four,mpfi,18620
139,gas,std,two,fwd,front,ohcf,four,2bbl,5118
140,gas,std,two,fwd,front,ohcf,four,2bbl,7053
141,gas,std,two,4wd,front,ohcf,four,2bbl,7603
142,gas,std,four,fwd,front,ohcf,four,2bbl,7126
143,gas,std,four,fwd,front,ohcf,four,2bbl,7775
144,gas,std,four,fwd,front,ohcf,four,mpfi,9960
145,gas,std,four,4wd,front,ohcf,four,2bbl,9233
146,gas,turbo,four,4wd,front,ohcf,four,mpfi,11259
147,gas,std,four,fwd,front,ohcf,four,2bbl,7463
148,gas,std,four,fwd,front,ohcf,four,mpfi,10198
149,gas,std,four,4wd,front,ohcf,four,2bbl,8013
150,gas,turbo,four,4wd,front,ohcf,four,mpfi,11694
151,gas,std,two,fwd,front,ohc,four,2bbl,5348
152,gas,std,two,fwd,front,ohc,four,2bbl,6338
153,gas,std,four,fwd,front,ohc,four,2bbl,6488
154,gas,std,four,fwd,front,ohc,four,2bbl,6918
155,gas,std,four,4wd,front,ohc,four,2bbl,7898
156,gas,std,four,4wd,front,ohc,four,2bbl,8778
157,gas,std,four,fwd,front,ohc,four,2bbl,6938
158,gas,std,four,fwd,front,ohc,four,2bbl,7198
159,diesel,std,four,fwd,front,ohc,four,idi,7898
160,diesel,std,four,fwd,front,ohc,four,idi,7788
161,gas,std,four,fwd,front,ohc,four,2bbl,7738
162,gas,std,four,fwd,front,ohc,four,2bbl,8358
163,gas,std,four,fwd,front,ohc,four,2bbl,9258
164,gas,std,two,rwd,front,ohc,four,2bbl,8058
165,gas,std,two,rwd,front,ohc,four,2bbl,8238
166,gas,std,two,rwd,front,dohc,four,mpfi,9298
167,gas,std,two,rwd,front,dohc,four,mpfi,9538
168,gas,std,two,rwd,front,ohc,four,mpfi,8449
169,gas,std,two,rwd,front,ohc,four,mpfi,9639
170,gas,std,two,rwd,front,ohc,four,mpfi,9989
171,gas,std,two,rwd,front,ohc,four,mpfi,11199
172,gas,std,two,rwd,front,ohc,four,mpfi,11549
173,gas,std,two,rwd,front,ohc,four,mpfi,17669
174,gas,std,four,fwd,front,ohc,four,mpfi,8948
175,diesel,turbo,four,fwd,front,ohc,four,idi,10698
176,gas,std,four,fwd,front,ohc,four,mpfi,9988
177,gas,std,four,fwd,front,ohc,four,mpfi,10898
178,gas,std,four,fwd,front,ohc,four,mpfi,11248
179,gas,std,two,rwd,front,dohc,six,mpfi,16558
180,gas,std,two,rwd,front,dohc,six,mpfi,15998
181,gas,std,four,rwd,front,dohc,six,mpfi,15690
182,gas,std,four,rwd,front,dohc,six,mpfi,15750
183,diesel,std,two,fwd,front,ohc,four,idi,7775
184,gas,std,two,fwd,front,ohc,four,mpfi,7975
185,diesel,std,four,fwd,front,ohc,four,idi,7995
186,gas,std,four,fwd,front,ohc,four,mpfi,8195
187,gas,std,four,fwd,front,ohc,four,mpfi,8495
188,diesel,turbo,four,fwd,front,ohc,four,idi,9495
189,gas,std,four,fwd,front,ohc,four,mpfi,9995
190,gas,std,two,fwd,front,ohc,four,mpfi,11595
191,gas,std,two,fwd,front,ohc,four,mpfi,9980
192,gas,std,four,fwd,front,ohc,five,mpfi,13295
193,diesel,turbo,four,fwd,front,ohc,four,idi,13845
194,gas,std,four,fwd,front,ohc,four,mpfi,12290
195,gas,std,four,rwd,front,ohc,four,mpfi,12940
196,gas,std,four,rwd,front,ohc,four,mpfi,13415
197,gas,std,four,rwd,front,ohc,four,mpfi,15985
198,gas,std,four,rwd,front,ohc,four,mpfi,16515
199,gas,turbo,four,rwd,front,ohc,four,mpfi,18420
200,gas,turbo,four,rwd,front,ohc,four,mpfi,18950
201,gas,std,four,rwd,front,ohc,four,mpfi,16845
202,gas,turbo,four,rwd,front,ohc,four,mpfi,19045
203,gas,std,four,rwd,front,ohcv,six,mpfi,21485
204,diesel,turbo,four,rwd,front,ohc,six,idi,22470
205,gas,turbo,four,rwd,front,ohc,four,mpfi,22625
